date,variant,prop_median,prop_ci_low,prop_ci_high
2021-09-05,B.1.1.529 (Omikron),1.7141450884019157e-11,1.3026411901343872e-13,4.6110482450961934e-10
2021-09-05,B.1.1.7 (Alpha),8.411860611335465e-5,2.6862413849187017e-5,2.5331863353445557e-4
2021-09-05,B.1.617.2 (Delta),0.9999158813020073,0.9997466813592085,0.999973137566484
2021-09-06,B.1.1.529 (Omikron),2.1148026765919814e-11,1.6934450432392324e-13,5.542359019126116e-10
2021-09-06,B.1.1.7 (Alpha),8.510490389869991e-5,2.710191821347524e-5,2.5233288458154345e-4
2021-09-06,B.1.617.2 (Delta),0.9999148950319457,0.9997476671063351,0.9999728980575038
2021-09-07,B.1.1.529 (Omikron),2.619133366709021e-11,2.198498792553156e-13,6.661770360033402e-10
2021-09-07,B.1.1.7 (Alpha),8.57096865145464e-5,2.7549085552255625e-5,2.5091278486881474e-4
2021-09-07,B.1.617.2 (Delta),0.999914290026237,0.9997490872017089,0.9999724506613252
2021-09-08,B.1.1.529 (Omikron),3.252556578591792e-11,2.8282231249262295e-13,8.007273737227413e-10
2021-09-08,B.1.1.7 (Alpha),8.612332947239681e-5,2.8232026727217665e-5,2.492832263293709e-4
2021-09-08,B.1.617.2 (Delta),0.9999138763269857,0.9997507167569261,0.9999717678988483
2021-09-09,B.1.1.529 (Omikron),4.0276146088601694e-11,3.638326978060166e-13,9.624533927232179e-10
2021-09-09,B.1.1.7 (Alpha),8.684751623419244e-5,2.8799137023857006e-5,2.47664249810295e-4
2021-09-09,B.1.617.2 (Delta),0.9999131524603628,0.9997523357293001,0.9999712008461199
2021-09-10,B.1.1.529 (Omikron),4.983390642612389e-11,4.686954198113882e-13,1.1567908488543722e-9
2021-09-10,B.1.1.7 (Alpha),8.754174590921363e-5,2.941627922020124e-5,2.4605578661912424e-4
2021-09-10,B.1.617.2 (Delta),0.9999124582023724,0.9997539441873204,0.9999705836548796
2021-09-11,B.1.1.529 (Omikron),6.165980080632735e-11,6.059609939635416e-13,1.3899902708258714e-9
2021-09-11,B.1.1.7 (Alpha),8.839142091670999e-5,2.9933937858790397e-05,2.444577685089107e-4
2021-09-11,B.1.617.2 (Delta),0.9999116080696466,0.99975554219898,0.9999700660435823
2021-09-12,B.1.1.529 (Omikron),7.62920812255712e-11,7.83428297834308e-13,1.6702047875839915e-9
2021-09-12,B.1.1.7 (Alpha),8.88882300861417e-5,3.044391185009937e-5,2.4346311210549575e-4
2021-09-12,B.1.617.2 (Delta),0.9999111113225614,0.9997565368102277,0.999969556065032
2021-09-13,B.1.1.529 (Omikron),9.439673380383096e-11,1.0128717578864806e-12,2.0069138455364474e-9
2021-09-13,B.1.1.7 (Alpha),8.951504756065871e-5,3.0962601518914356e-5,2.4195906680960904e-4
2021-09-13,B.1.617.2 (Delta),0.9999104836941883,0.9997580408347885,0.9999690373696828
2021-09-14,B.1.1.529 (Omikron),1.167977920392423e-10,1.3095144292142638e-12,2.411508341725818e-9
2021-09-14,B.1.1.7 (Alpha),9.016796290830049e-5,3.14923193441632e-5,2.3972570881677937e-4
2021-09-14,B.1.617.2 (Delta),0.9999098305614731,0.9997602742280568,0.9999685076676386
2021-09-15,B.1.1.529 (Omikron),1.4451484393204588e-10,1.6930380957962675e-12,2.8976760811781783e-9
2021-09-15,B.1.1.7 (Alpha),9.074093043568015e-5,3.201549620825602e-5,2.3816879737057235e-4
2021-09-15,B.1.617.2 (Delta),0.9999092590021504,0.9997618311238747,0.9999679844674614
2021-09-16,B.1.1.529 (Omikron),1.7862110886504935e-10,2.1888892357909608e-12,3.480350617149847e-9
2021-09-16,B.1.1.7 (Alpha),9.166566127069156e-5,3.2818729933297274e-5,2.375453933701239e-4
2021-09-16,B.1.617.2 (Delta),0.9999083338684258,0.9997624543371968,0.9999671812505794
2021-09-17,B.1.1.529 (Omikron),2.2051423930299344e-10,2.8299675148709308e-12,4.155669032389265e-9
2021-09-17,B.1.1.7 (Alpha),9.237008674790341e-5,3.355348925857782e-5,2.361589263832288e-4
2021-09-17,B.1.617.2 (Delta),0.9999076293458729,0.9997638407967897,0.9999664462469995
2021-09-18,B.1.1.529 (Omikron),2.731540976847717e-10,3.658808856013143e-12,4.9620362239613924e-9
2021-09-18,B.1.1.7 (Alpha),9.305868924794437e-5,3.4220356038299e-5,2.3470308518016864e-4
2021-09-18,B.1.617.2 (Delta),0.9999069406373645,0.999765296515239,0.9999657739462253
2021-09-19,B.1.1.529 (Omikron),3.384368380083517e-10,4.730407955686873e-12,5.924885194114909e-9
2021-09-19,B.1.1.7 (Alpha),9.375085934386731e-5,3.496636910507767e-5,2.3410698812344639e-4
2021-09-19,B.1.617.2 (Delta),0.9999062476257995,0.9997658928350142,0.999965032836894
2021-09-20,B.1.1.529 (Omikron),4.2028657710254117e-10,6.083004180521762e-12,7.1330534369612775e-9
2021-09-20,B.1.1.7 (Alpha),9.454502922566366e-5,3.5714807205239354e-5,2.3442789253692742e-4
2021-09-20,B.1.617.2 (Delta),0.9999054543326411,0.9997655720627436,0.9999642847140422
2021-09-21,B.1.1.529 (Omikron),5.208675803736027e-10,7.762872909020868e-12,8.589185068209625e-9
2021-09-21,B.1.1.7 (Alpha),9.505700103539118e-5,3.627740090430173e-5,2.3328568098820188e-4
2021-09-21,B.1.617.2 (Delta),0.9999049409669147,0.9997667132603317,0.9999637221269909
2021-09-22,B.1.1.529 (Omikron),6.450893252899079e-10,9.908045761899025e-12,1.0403386958175798e-8
2021-09-22,B.1.1.7 (Alpha),9.582408496264031e-5,3.696806226513915e-5,2.3069623510228672e-4
2021-09-22,B.1.617.2 (Delta),0.999904175124283,0.9997692962584672,0.9999630314121343
2021-09-23,B.1.1.529 (Omikron),7.9893680954449e-10,1.2646126134577451e-11,1.2550671613848984e-8
2021-09-23,B.1.1.7 (Alpha),9.675090165839532e-5,3.793364119403573e-5,2.290076158900798e-4
2021-09-23,B.1.617.2 (Delta),0.9999032467571739,0.9997709893301895,0.9999620657101614
2021-09-24,B.1.1.529 (Omikron),9.878515506406672e-10,1.6172684918739544e-11,1.4986456472441685e-8
2021-09-24,B.1.1.7 (Alpha),9.738773926847491e-5,3.883731626056745e-5,2.2822203201081775e-4
2021-09-24,B.1.617.2 (Delta),0.9999026121323338,0.9997717742353391,0.999961161584655
2021-09-25,B.1.1.529 (Omikron),1.223416356865884e-9,2.091160010954375e-11,1.8042842880475093e-8
2021-09-25,B.1.1.7 (Alpha),9.802570118535957e-5,3.965030697559722e-5,2.274394664754609e-4
2021-09-25,B.1.617.2 (Delta),0.9999019735686958,0.9997725559712818,0.9999603483414591
2021-09-26,B.1.1.529 (Omikron),1.5141768612020654e-9,2.7057155428737376e-11,2.1720039216104606e-8
2021-09-26,B.1.1.7 (Alpha),9.887929926859974e-5,4.0293889298328704e-5,2.2694202773088781e-4
2021-09-26,B.1.617.2 (Delta),0.9999011193740759,0.9997730541275469,0.999959705845568
2021-09-27,B.1.1.529 (Omikron),1.875632477795554e-9,3.505286916872172e-11,2.5972964291873474e-8
2021-09-27,B.1.1.7 (Alpha),9.969744783874741e-5,4.0662979609691235e-5,2.2770325166197977e-4
2021-09-27,B.1.617.2 (Delta),0.9999002999513746,0.9997722916839531,0.9999593361403621
