Kalenderwoche,B.1.1.7 (Alpha),B.1.351 (Beta),P.1 (Gamma),B.1.617.2 (Delta),B.1.1.529 (Omikron),Fälle gesamt
1,93,4,0,5,0,14634
2,298,53,0,7,0,10950
3,446,133,0,3,0,10163
4,958,99,0,2,0,9510
5,1946,74,0,1,0,9118
6,1883,19,0,2,0,9457
7,3525,20,0,4,0,11636
8,7496,87,0,4,0,14197
9,9477,82,0,3,0,16324
10,11303,99,1,7,0,18225
11,12797,77,2,4,0,21094
12,12305,60,1,6,0,22328
13,10865,19,0,4,0,20789
14,7965,17,1,5,0,17616
15,8133,26,2,4,0,16821
16,8225,24,6,6,0,15049
17,7430,6,12,3,0,12536
18,4976,1,22,3,0,9021
19,3268,0,10,9,0,5736
20,2249,5,5,8,0,4156
21,1470,3,8,26,0,3160
22,1198,4,9,64,0,2424
23,874,0,3,196,0,1684
24,419,0,0,305,0,1002
25,202,0,1,268,0,679
26,111,0,1,354,0,633
27,87,0,2,740,0,1092
28,73,1,1,1569,0,2192
29,30,0,1,1845,0,2531
30,14,0,3,2463,0,3251
31,22,0,1,2730,0,3666
32,4,1,1,4396,0,5899
33,5,0,0,5597,0,8062
34,3,0,0,6640,0,9435
35,2,1,1,7982,0,11309
36,3,0,2,9308,0,14060
37,2,0,0,7943,0,13742
38,0,0,0,6946,0,11756
39,1,0,0,7167,0,12597
40,1,0,0,7053,0,12782
41,1,0,0,8713,0,15365
42,0,0,0,13695,0,23858
43,1,0,0,19206,0,34574
44,1,0,0,20045,0,56517
45,6,0,0,8109,0,78841
46,1,0,0,7867,0,97358
47,0,0,0,5771,6,82690
48,5,0,0,4831,32,50928
49,4,0,0,2841,49,29413
50,1,0,0,1596,278,19043
NA,120179,915,96,166356,365,879903
