Kalenderwoche,B.1.1.7 (Alpha),B.1.351 (Beta),P.1 (Gamma),B.1.617.2 (Delta),B.1.1.529 (Omikron),Fälle gesamt
2021-W20,2249,5,5,8,0,4155
2021-W21,1470,3,8,25,0,3160
2021-W22,1198,4,9,63,0,2425
2021-W23,875,0,3,188,0,1685
2021-W24,419,0,0,290,0,1002
2021-W25,202,0,1,251,0,679
2021-W26,111,0,1,344,0,633
2021-W27,87,0,2,749,0,1093
2021-W28,73,1,1,1678,0,2193
2021-W29,30,0,1,1972,0,2532
2021-W30,14,0,3,2505,0,3251
2021-W31,22,0,1,2758,0,3667
2021-W32,4,1,1,4473,0,5901
2021-W33,5,0,0,5867,0,8065
2021-W34,3,0,0,6939,0,9437
2021-W35,2,1,1,8377,0,11307
2021-W36,3,0,2,9939,0,14061
2021-W37,2,0,0,8838,0,13748
2021-W38,0,0,0,7672,0,11764
2021-W39,1,0,0,7713,0,12599
2021-W40,1,0,0,7508,0,12782
2021-W41,1,0,0,9115,0,15361
2021-W42,0,0,0,14246,0,23858
2021-W43,1,0,0,20781,0,34575
2021-W44,1,0,0,23404,0,56509
2021-W45,11,0,0,26649,0,78840
2021-W46,9,0,0,12486,0,97340
2021-W47,0,0,0,12679,89,82718
2021-W48,4,0,0,15116,92,50922
2021-W49,4,0,0,10731,79,29334
2021-W50,0,0,0,7868,419,18865
2021-W51,0,0,0,6207,2124,14641
2021-W52,1,0,0,4983,8116,23162
2022-W01,0,0,0,2446,29928,62444
NA,6803,15,39,244868,40847,714708
