Kalenderwoche,B.1.1.7 (Alpha),B.1.351 (Beta),P.1 (Gamma),B.1.617.2 (Delta),B.1.1.529 (Omikron),Fälle gesamt
2021-W20,2249,5,5,14,0,4155
2021-W21,1470,3,8,26,0,3160
2021-W22,1198,4,9,66,0,2425
2021-W23,875,0,3,197,0,1685
2021-W24,419,0,0,316,0,1002
2021-W25,202,0,1,281,0,679
2021-W26,111,0,1,359,0,633
2021-W27,87,0,2,754,0,1093
2021-W28,73,1,1,1705,0,2192
2021-W29,30,0,1,2018,0,2532
2021-W30,14,0,3,2547,0,3251
2021-W31,22,0,1,2800,0,3667
2021-W32,4,1,1,4565,0,5900
2021-W33,5,0,0,6036,0,8063
2021-W34,3,0,0,7195,0,9436
2021-W35,2,1,1,8377,0,11307
2021-W36,3,0,2,9940,0,14061
2021-W37,2,0,0,8837,0,13747
2021-W38,0,0,0,7671,0,11762
2021-W39,1,0,0,7714,0,12597
2021-W40,1,0,0,7508,0,12780
2021-W41,1,0,0,9117,0,15361
2021-W42,0,0,0,14246,0,23858
2021-W43,1,0,0,20784,0,34575
2021-W44,1,0,0,23401,0,56503
2021-W45,6,0,0,26677,1,78828
2021-W46,0,0,0,12494,0,97340
2021-W47,0,0,0,12693,24,82707
2021-W48,4,0,0,15123,48,50915
2021-W49,4,0,0,10730,64,29338
2021-W50,0,0,0,7866,405,18868
2021-W51,0,0,0,6138,2023,14646
2021-W52,1,0,0,4248,6941,23207
NA,120173,915,96,244553,9506,917471
