Kalenderwoche,B.1.1.7 (Alpha),B.1.351 (Beta),P.1 (Gamma),B.1.617.2 (Delta),B.1.1.529 (Omikron),Fälle gesamt
1,93,4,0,10,0,14634
2,298,53,0,13,0,10950
3,446,133,0,21,0,10164
4,958,99,0,145,0,9512
5,1946,74,0,300,0,9118
6,1883,19,0,326,0,9457
7,3525,20,0,264,0,11636
8,7495,87,0,344,0,14197
9,9477,82,0,173,0,16324
10,11302,99,1,83,0,18226
11,12797,77,2,80,0,21094
12,12305,60,1,107,0,22328
13,10865,19,0,70,0,20790
14,7965,17,1,36,0,17616
15,8133,26,2,42,0,16821
16,8225,24,6,41,0,15049
17,7430,6,12,20,0,12536
18,4976,1,22,17,0,9021
19,3268,0,10,17,0,5736
20,2249,5,5,14,0,4155
21,1470,3,8,26,0,3160
22,1198,4,9,66,0,2424
23,875,0,3,197,0,1685
24,419,0,0,316,0,1002
25,202,0,1,281,0,679
26,111,0,1,359,0,633
27,87,0,2,755,0,1092
28,73,1,1,1705,0,2192
29,30,0,1,2018,0,2531
30,14,0,3,2547,0,3251
31,22,0,1,2800,0,3667
32,4,1,1,4565,0,5900
33,5,0,0,6036,0,8062
34,3,0,0,7195,0,9435
35,2,1,1,8378,0,11308
36,3,0,2,9940,0,14061
37,2,0,0,8838,0,13744
38,0,0,0,7670,0,11758
39,1,0,0,7715,0,12597
40,1,0,0,7508,0,12783
41,1,0,0,9117,0,15363
42,0,0,0,14241,0,23857
43,1,0,0,20562,0,34576
44,1,0,0,23400,0,56504
45,6,0,0,26670,0,78822
46,1,0,0,12446,0,97336
47,0,0,0,12400,6,82691
48,5,0,0,15058,37,50914
49,4,0,0,10627,59,29396
50,0,0,0,7477,384,18921
51,0,0,0,4459,1345,14727
NA,120177,915,96,237495,1831,894435
