Kalenderwoche,B.1.1.7 (Alpha),B.1.351 (Beta),P.1 (Gamma),B.1.617.2 (Delta),B.1.1.529 (Omikron),Fälle gesamt
20,2249,5,5,14,0,4155
21,1470,3,8,26,0,3160
22,1198,4,9,66,0,2425
23,875,0,3,197,0,1685
24,419,0,0,316,0,1002
25,202,0,1,281,0,679
26,111,0,1,359,0,633
27,87,0,2,755,0,1093
28,73,1,1,1705,0,2192
29,30,0,1,2018,0,2532
30,14,0,3,2547,0,3251
31,22,0,1,2800,0,3667
32,4,1,1,4565,0,5900
33,5,0,0,6036,0,8063
34,3,0,0,7195,0,9436
35,2,1,1,8378,0,11307
36,3,0,2,9935,0,14061
37,2,0,0,8829,0,13746
38,0,0,0,7670,0,11760
39,1,0,0,7713,0,12596
40,1,0,0,7508,0,12782
41,1,0,0,9116,0,15361
42,0,0,0,14243,0,23858
43,1,0,0,20773,0,34575
44,1,0,0,23371,0,56496
45,6,0,0,26664,0,78826
46,0,0,0,12487,0,97339
47,0,0,0,12681,11,82697
48,5,0,0,15117,39,50909
49,4,0,0,10709,58,29337
50,0,0,0,7826,397,18873
51,0,0,0,5955,1927,14661
52,1,0,0,2965,4712,22984
NA,6790,15,39,240820,7144,652041
